alias	sample	title	ENA_accession	library_strategy	library_source	library_selection	platform	instrument_model	library_layout	center_name
D032	SAMEA117831138	Cusco_D032	ERS23820817	WGS	METAGENOMIC	RANDOM	ILLUMINA	PromethION	PAIRED	bdb-lab
D033	SAMEA117831137	Cusco_D033	ERS23820816	WGS	METAGENOMIC	RANDOM	ILLUMINA	PromethION	PAIRED	bdb-lab
D034	SAMEA117831136	Cusco_D034	ERS23820815	WGS	METAGENOMIC	RANDOM	ILLUMINA	PromethION	PAIRED	bdb-lab
D035	SAMEA117831135	Cusco_D035	ERS23820814	WGS	METAGENOMIC	RANDOM	ILLUMINA	PromethION	PAIRED	bdb-lab
D036	SAMEA117831134	Cusco_D036	ERS23820813	WGS	METAGENOMIC	RANDOM	ILLUMINA	PromethION	PAIRED	bdb-lab
D037	SAMEA117831133	Cusco_D037	ERS23820812	WGS	METAGENOMIC	RANDOM	ILLUMINA	PromethION	PAIRED	bdb-lab
D038	SAMEA117831132	Cusco_D038	ERS23820811	WGS	METAGENOMIC	RANDOM	ILLUMINA	PromethION	PAIRED	bdb-lab
D039	SAMEA117831131	Cusco_D039	ERS23820810	WGS	METAGENOMIC	RANDOM	ILLUMINA	PromethION	PAIRED	bdb-lab
D040	SAMEA117831130	Cusco_D040	ERS23820809	WGS	METAGENOMIC	RANDOM	ILLUMINA	PromethION	PAIRED	bdb-lab
D041	SAMEA117831129	Cusco_D041	ERS23820808	WGS	METAGENOMIC	RANDOM	ILLUMINA	PromethION	PAIRED	bdb-lab
D042	SAMEA117831128	Cusco_D042	ERS23820807	WGS	METAGENOMIC	RANDOM	ILLUMINA	PromethION	PAIRED	bdb-lab
D043	SAMEA117831127	Cusco_D043	ERS23820806	WGS	METAGENOMIC	RANDOM	ILLUMINA	PromethION	PAIRED	bdb-lab
D044	SAMEA117831126	Cusco_D044	ERS23820805	WGS	METAGENOMIC	RANDOM	ILLUMINA	PromethION	PAIRED	bdb-lab
D045	SAMEA117831125	Cusco_D045	ERS23820804	WGS	METAGENOMIC	RANDOM	ILLUMINA	PromethION	PAIRED	bdb-lab
D046	SAMEA117831124	Cusco_D046	ERS23820803	WGS	METAGENOMIC	RANDOM	ILLUMINA	PromethION	PAIRED	bdb-lab
D047	SAMEA117831123	Cusco_D047	ERS23820802	WGS	METAGENOMIC	RANDOM	ILLUMINA	PromethION	PAIRED	bdb-lab
D048	SAMEA117831122	Cusco_D048	ERS23820801	WGS	METAGENOMIC	RANDOM	ILLUMINA	PromethION	PAIRED	bdb-lab
D049	SAMEA117831121	Cusco_D049	ERS23820800	WGS	METAGENOMIC	RANDOM	ILLUMINA	PromethION	PAIRED	bdb-lab
D050	SAMEA117831120	Cusco_D050	ERS23820799	WGS	METAGENOMIC	RANDOM	ILLUMINA	PromethION	PAIRED	bdb-lab
D051	SAMEA117831119	Cusco_D051	ERS23820798	WGS	METAGENOMIC	RANDOM	ILLUMINA	PromethION	PAIRED	bdb-lab
D052	SAMEA117831118	Cusco_D052	ERS23820797	WGS	METAGENOMIC	RANDOM	ILLUMINA	PromethION	PAIRED	bdb-lab
